respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.140071800535847,0.3658480811126282
26708,0.026005712215597873,0.06963010823717491
26709,0.385226335739935,0.6419501433284939
26710,0.4105293581420678,0.7672765456989359
26711,0.32835185396221517,0.6403195128999079
26712,0.4853052407525618,0.8611107529789539
26713,0.2684501935437345,0.28433849188806953
26714,0.10804896988784177,0.19653980831944304
26715,0.03143281025118492,0.10471717205170882
26716,0.16174109165921233,0.7614302995616345
26717,0.019156851703366867,0.3666013266971904
26718,0.26640146581001156,0.5018666568883429
26719,0.10342776129197195,0.8618139402334528
26720,0.11017905958284485,0.38980742794142037
26721,0.2438149578987723,0.5537727395965577
26722,0.04374550659376278,0.0910330908361709
26723,0.5748618475406898,0.5809104208765129
26724,0.12332222938950436,0.4704757771118702
26725,0.062326041221233676,0.19807086487411377
26726,0.021073667916136483,0.1322812784498958
26727,0.22960722920500662,0.72238919978087
26728,0.22140008035228811,0.45295069322170833
26729,0.0634168282378305,0.3347016182601076
26730,0.05551042651806272,0.32361312958843025
26731,0.011575181785468274,0.1602863620127581
26732,0.12222740308357648,0.08284010440290338
26733,0.8792844561350155,0.9085833005799957
26734,0.881701426001757,0.5744838383452177
26735,0.132125712217981,0.4503689665039438
26736,0.09677001593263518,0.3480200687868841
26737,0.06634822025734265,0.11461444321555918
26738,0.5809521855481884,0.8503240386965645
26739,0.10986944845949505,0.23182170885684347
26740,0.1642014751269019,0.22293708041120577
26741,0.14330599152092494,0.8489549327084905
26742,0.12830774892324462,0.4136439275011278
26743,0.03510024702285132,0.3433137472433543
26744,0.09695404840659372,0.7458352903325312
26745,0.08659918986775404,0.8597216864978425
26746,0.10829098349354734,0.3922702275519633
26747,0.08702282013692246,0.24458162932877198
26748,0.158273963493199,0.2220693804008189
26749,0.0722424134947998,0.7110924670072
26750,0.5159182391105103,0.7617284058188899
26751,0.37730161319592187,0.6227894041246522
26752,0.03231048508041721,0.026611111613991673
26753,0.19796045044660507,0.5377222843708243
26754,0.09954795581554807,0.6482329160565433
26755,0.07691676682223228,0.19155032154760157
26756,0.019831883732813162,0.05479437465361356
26757,0.5858471701179405,0.7052587879732118
26758,0.4557626438409798,0.7706874652562298
26759,0.03619817012316262,0.15408445881911143
26760,0.012917459186767536,0.03582331382628243
26761,0.12450379265891096,0.5489537566483921
26762,0.11959944834347022,0.6102971180861078
26763,0.8598596520362297,0.9561065522125937
26764,0.9115060372751789,0.9346743424060923
26765,0.024568848622857586,0.4931921409775934
26766,0.1852454887455145,0.28024084795113785
26767,0.6881458794777128,0.7122345801082957
26768,0.015149627334561136,0.6066913362089105
26769,0.14607836596231874,0.2810876703046034
26770,0.13763251687087863,0.7254145124023008
26771,0.07205998980392923,0.2209943469773365
26772,0.1195870775985133,0.4977752459456455
26773,0.023203435380837863,0.7369644156652758
26774,0.02443531386780056,0.40066997189451353
26775,0.11321001223074897,0.4508036571650071
26776,0.4898514698407236,0.531858516873175
26777,0.128523861078534,0.899831087026707
26778,0.0886311029758964,0.23824191667125702
26779,0.13926588566271722,0.6734320823478696
26780,0.18756055020318366,0.9534037024723997
26781,0.03450210149481117,0.1952678493757934
26782,0.05999188938967446,0.30878809030301724
26783,0.0634168282378305,0.2540460134029374
26784,0.2980407399168199,0.8196235678494694
26785,0.33077036335653937,0.6116915408097541
26786,0.14935483853415726,0.24912130726386075
26787,0.0745968452170121,0.2662541294035122
26788,0.10573735931144868,0.8267355318216545
26789,0.01834103863482437,0.35008553807191445
26790,0.0634168282378305,0.24986361008856783
26791,0.029973760794389518,0.10860747796412218
26792,0.24819251493965952,0.7620440018294952
26793,0.10628401542990304,0.8011198275543745
26794,0.725258559720548,0.8853997871158608
26795,0.05890136008634926,0.9421406288148437
